model,accuracy,precision,recall,f1
RandomForest,0.8461538461538461,0.7923076923076924,0.9285714285714286,0.8174705636244097
LogisticRegression,0.7076923076923076,0.6992368742368742,0.9494810744810744,0.7515815506765733
